id,tmag,RAD,MASS,teff,sector_length
119292328,8.9767,0.882675,,5581.0,4.0
443823169,11.6627,0.296806,,3261.0,5.0
421006834,12.5437,0.37,,3338.0,4.0
421005422,10.7077,0.76,,5181.1,1.0
349986198,12.5389,0.87,,4642.1,2.0
59490344,8.3323,0.844852,,5235.0,3.0
246965431,12.0828,0.48,,3580.0,3.0
437011608,7.6253,0.93,,5670.0,2.0
87216634,6.5715,0.88,,5132.0,1.0
392681545,7.4961,1.61211,,6111.67,1.0
80224448,6.3103,1.12993,,6007.0,2.0
280803800,10.5978,0.913252,,5489.0,6.0
63100069,12.8317,0.523126,,3653.0,0.0
57299130,9.094,0.82,,5228.2,4.0
29953537,10.2097,0.97,,5508.0,4.0
341405597,10.4012,0.75,,4716.0,2.0
201254754,11.8272,0.49,,3634.0,3.0
387294150,11.4353,0.628984,,3944.0,1.0
337217173,11.5546,0.25,,3236.0,3.0
96475638,8.5861,1.16,,6193.0,
368628986,9.57157,1.3783,,6317.08,2.0
428812049,8.96016,2.24,,6696.0,6.0
286712787,8.6739,0.854084,,5259.0,2.0
419877797,8.3898,1.1,,5966.0,0.0
53843023,10.3852,0.815268,,4713.0,1.0
314992600,10.3767,1.39,,5975.0,0.0
408469564,8.1891,1.34,,6156.0,1.0
426956677,9.70916,0.91,,5598.9,0.0
369532319,10.1233,0.99,,5758.0,1.0
431810418,9.50492,1.06,,5940.0,0.0
291109653,12.2937,0.55,,3654.0,3.0
196066560,12.3475,0.656735,,3761.0,2.0
47319867,12.6165,0.76036,,4964.8,0.0
51768374,9.94212,1.14,,6060.0,0.0
430930679,9.6396,0.77,,4679.0,2.0
193336820,10.4382,0.6,,4006.0,4.0
77490011,14.1398,0.232947,,3244.0,1.0
302173245,11.5702,0.977544,,5531.0,3.0
270355392,10.6127,0.518021,,3782.0,4.0
167654347,12.392,0.71,,4758.0,7.0
203377303,8.7028,1.2115099,,5860.0,1.0
322270620,12.0936,0.491323,,3614.0,3.0
323132914,9.4091,0.943356,,5599.0,7.0
273985865,10.5924,0.823019,,5626.0,6.0
231077395,10.7188,1.43,,6113.8,25.0
101948569,10.7011,0.702945,,4333.0,2.0
179985715,11.2738,0.603418,,4157.0,2.0
219175972,12.8332,0.46769,,3478.0,11.0
182078202,10.2891,0.876001,,5653.0,4.0
139148528,10.2768,0.914215,,5809.0,2.0
278988097,11.255,0.901955,,6112.0,26.0
313889049,11.7463,0.558169,,3851.0,2.0
350299588,8.3987,1.8626699,,6128.0,25.0
401980624,10.4286,1.03,,5496.0,0.0
197807778,9.8429,1.15018,,5811.0,6.0
207238953,10.9015,1.01775,,5559.0,5.0
350931281,10.7888,1.72395,,5515.2,25.0
177254988,12.3813,0.687025,,4361.0,23.0
260189643,13.2896,0.655595,,4389.0,12.0
269728501,11.5832,0.713304,,4443.39,9.0
55450156,12.1851,0.74,,5203.0,24.0
307849973,11.9212,0.608498,,3830.0,7.0
304339227,8.6577,1.12577,,6324.0,2.0
179442778,12.9757,0.698505,,4454.0,11.0
255560319,8.4379,2.46205,,5494.7,17.0
269849065,12.8676,0.320782,,3264.0,6.0
237928815,10.2036,0.852304,,5384.0,7.0
349829627,9.0255,2.56864,,4997.0,24.0
220459826,11.8348,0.75636,,4872.54,18.0
280830734,9.4668,1.66089,,6340.3,5.0
332064670,5.2058,0.963515,,5250.0,3.0
52307802,12.747,0.308247,,3246.0,5.0
366443426,8.4642,1.30883,,6352.33,5.0
173103335,10.5459,0.550856,,3920.0,2.0
388811663,11.7603,0.706632,,4147.0,2.0
277833995,11.758,0.590525,,3650.0,4.0
374180079,10.6269,0.733789,,4362.0,3.0
458686847,12.7482,0.514745,,3689.0,4.0
388804061,11.2373,0.444516,,3464.0,2.0
332022997,11.1983,0.735345,,4783.6,3.0
243014114,11.2723,0.758892,,4246.8,3.0
435339847,11.2867,0.793476,,4865.6,4.0
257774438,8.97055,1.0623,,6101.0,2.0
377064495,9.5273,0.840576,,5391.0,4.0
298073824,8.1033,4.12041,,6906.0,8.0
14570099,11.0384,0.709927,,4678.0,3.0
468880077,9.4464,0.796856,,5210.8,4.0
384888319,10.1406,0.492759,,3611.0,2.0
251039147,8.1954,1.07392,,5975.0,1.0
467651916,7.7746,1.1566401,,6011.9,2.0
33716474,11.0559,0.851957,,5631.0,15.0
17307715,11.4529,0.655766,,3893.47,2.0
58542531,9.794,0.695095,,4402.0,3.0
37749396,8.4991,0.618173,,4111.0,2.0
30853470,11.3042,0.693074,,4662.0,24.0
38510224,11.7481,0.681407,,4356.0,18.0
